Computational Analysis of Neighboring Genes onArabidopsis thaliana Chromosomes 4 and 5:Their Genomic Association as Functional SubunitsThe genes related to specific events or pathways in bacteria are frequently localized proximate to thegenome of their neighbors, as with the structures known as operon, but eukaryotic genes seem to be independent of their neighbors, and are dispersed randomly throughout genomes.
('Computational', 'Computational', 'JJ', 'B-NP', 'O')
('Analysis', 'Analysis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Neighboring', 'Neighboring', 'NNP', 'B-NP', 'O')
('Genes', 'Genes', 'NNP', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('Arabidopsis', 'Arabidopsis', 'NNP', 'B-NP', 'O')
('thaliana', 'thaliana', 'IN', 'B-ADVP', 'O')
('Chromosomes', 'Chromosome', 'NNS', 'B-NP', 'B-DNA')
('4', '4', 'CD', 'B-NP', 'I-DNA')
('and', 'and', 'CC', 'I-NP', 'O')
('5:', '5:', 'CD', 'I-NP', 'O')
('Their', 'Their', 'NNP', 'I-NP', 'O')
('Genomic', 'Genomic', 'NNP', 'I-NP', 'O')
('Association', 'Association', 'NNP', 'I-NP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('Functional', 'Functional', 'NNP', 'B-NP', 'O')
('Subunits', 'Subunit', 'NNPS', 'I-NP', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('related', 'relate', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('events', 'event', 'NNS', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('bacteria', 'bacteria', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('frequently', 'frequently', 'RB', 'I-VP', 'O')
('localized', 'localize', 'VBN', 'I-VP', 'O')
('proximate', 'proximate', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('neighbors,', 'neighbors,', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('structures', 'structure', 'NNS', 'I-NP', 'O')
('known', 'know', 'VBN', 'B-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('operon,', 'operon,', 'NN', 'B-NP', 'B-DNA')
('but', 'but', 'CC', 'O', 'I-DNA')
('eukaryotic', 'eukaryotic', 'JJ', 'B-NP', 'I-DNA')
