Supervised Model for Identifying Differentially Expressed Genes in DNA Microarray Gene Expression Dataset Using Biological Pathway InformationMicroarray technology makes it possible to measure the expressions of tens of thousands of genes simultaneously under various experimental conditions.
('Supervised', 'Supervised', 'NNP', 'B-NP', 'O')
('Model', 'Model', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Identifying', 'Identifying', 'NNP', 'B-NP', 'O')
('Differentially', 'Differentially', 'NNP', 'I-NP', 'O')
('Expressed', 'Expressed', 'NNP', 'I-NP', 'O')
('Genes', 'Genes', 'NNP', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('DNA', 'DNA', 'NN', 'B-NP', 'B-DNA')
('Microarray', 'Microarray', 'NNP', 'I-NP', 'I-DNA')
('Gene', 'Gene', 'NNP', 'I-NP', 'I-DNA')
('Expression', 'Expression', 'NNP', 'I-NP', 'O')
('Dataset', 'Dataset', 'NNP', 'I-NP', 'O')
('Using', 'Using', 'NNP', 'I-NP', 'O')
('Biological', 'Biological', 'NNP', 'I-NP', 'O')
('Pathway', 'Pathway', 'NNP', 'I-NP', 'O')
('Information', 'Information', 'NNP', 'I-NP', 'O')
('Microarray', 'Microarray', 'NNP', 'I-NP', 'O')
('technology', 'technology', 'NN', 'I-NP', 'O')
('makes', 'make', 'VBZ', 'B-VP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('possible', 'possible', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('measure', 'measure', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expressions', 'expression', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('tens', 'ten', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('thousands', 'thousand', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('simultaneously', 'simultaneously', 'RB', 'B-ADVP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('various', 'various', 'JJ', 'B-NP', 'O')
('experimental', 'experimental', 'JJ', 'I-NP', 'O')
('conditions.', 'conditions.', 'NNS', 'I-NP', 'O')
Identifying differentially expressed genes in each single experimental condition is one of the most common first steps in microarray gene expression data analysis.
('Identifying', 'Identify', 'VBG', 'B-VP', 'O')
('differentially', 'differentially', 'RB', 'B-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'B-NP', 'I-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('single', 'single', 'JJ', 'I-NP', 'O')
('experimental', 'experimental', 'JJ', 'I-NP', 'O')
('condition', 'condition', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('steps', 'step', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'B-DNA')
('gene', 'gene', 'NN', 'I-NP', 'I-DNA')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
Reasonable choices of thresholds for determining differentially expressed genes are used for the next-step-analysis with suitable statistical significances.
('Reasonable', 'Reasonable', 'JJ', 'B-NP', 'O')
