PrimateDB: Development of Primate Genome DB and Web ServiceThe comparative analysis of the human and primate genomes including the chimpanzee can reveal unique types of information impossible to obtain from comparing the human genome with the genomes of other vertebrates.
('PrimateDB:', 'PrimateDB:', 'NNP', 'B-NP', 'O')
('Development', 'Development', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Primate', 'Primate', 'NNP', 'B-NP', 'O')
('Genome', 'Genome', 'NNP', 'I-NP', 'O')
('DB', 'DB', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Web', 'Web', 'NNP', 'B-NP', 'O')
('Service', 'Service', 'NNP', 'I-NP', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('comparative', 'comparative', 'JJ', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'B-DNA')
('and', 'and', 'CC', 'I-NP', 'I-DNA')
('primate', 'primate', 'JJ', 'I-NP', 'I-DNA')
('genomes', 'genome', 'NNS', 'I-NP', 'I-DNA')
('including', 'include', 'VBG', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('reveal', 'reveal', 'VB', 'I-VP', 'O')
('unique', 'unique', 'JJ', 'B-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('impossible', 'impossible', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('obtain', 'obtain', 'VB', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('comparing', 'compare', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'B-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genomes', 'genome', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('vertebrates.', 'vertebrates.', 'NNS', 'I-NP', 'O')
PrimateDB is an open depository server that provides primate genome information for the comparative genome research.
('PrimateDB', 'PrimateDB', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('open', 'open', 'JJ', 'I-NP', 'O')
('depository', 'depository', 'NN', 'I-NP', 'O')
('server', 'server', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('primate', 'primate', 'JJ', 'B-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('comparative', 'comparative', 'JJ', 'I-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('research.', 'research.', 'NN', 'I-NP', 'O')
The database also provides an easy access to variable information within/between the primate genomes and supports analyzed information, such as annotation and retroelements and phylogeny.
('The', 'The', 'DT', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('easy', 'easy', 'JJ', 'I-NP', 'O')
('access', 'access', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('variable', 'variable', 'JJ', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('within/between', 'within/between', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('primate', 'primate', 'JJ', 'I-NP', 'B-DNA')
('genomes', 'genome', 'NNS', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('supports', 'support', 'VBZ', 'B-VP', 'O')
('analyzed', 'analyze', 'VBN', 'B-NP', 'O')
('information,', 'information,', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('annotation', 'annotation', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
