Estimating the Genetic Epidemiology Parameters of Selected Cancers in Korea Population - The Korean Twin Study -The Korean Twin Register (n=154,783 pairs) wasreported in 2002 as the first nationwide twin study in Korea and the largest study in Asia.
('Estimating', 'Estimate', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Genetic', 'Genetic', 'JJ', 'I-NP', 'O')
('Epidemiology', 'Epidemiology', 'NNP', 'I-NP', 'O')
('Parameters', 'Parameter', 'NNPS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Selected', 'Select', 'VBN', 'B-NP', 'O')
('Cancers', 'Cancer', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Korea', 'Korea', 'NNP', 'B-NP', 'O')
('Population', 'Population', 'NNP', 'I-NP', 'O')
('-', '-', ':', 'O', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('Korean', 'Korean', 'JJ', 'I-NP', 'O')
('Twin', 'Twin', 'NNP', 'I-NP', 'O')
('Study', 'Study', 'NNP', 'I-NP', 'O')
('-', '-', ':', 'O', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('Korean', 'Korean', 'JJ', 'I-NP', 'O')
('Twin', 'Twin', 'NNP', 'I-NP', 'O')
('Register', 'Register', 'NNP', 'I-NP', 'O')
('(n=154,783', '(n=154,783', 'NN', 'I-NP', 'O')
('pairs)', 'pairs)', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('reported', 'report', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('2002', '2002', 'CD', 'B-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('nationwide', 'nationwide', 'JJ', 'I-NP', 'O')
('twin', 'twin', 'NN', 'I-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Korea', 'Korea', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('largest', 'large', 'JJS', 'I-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Asia.', 'Asia.', 'NNP', 'B-NP', 'O')
The Twin Register has the information of disease outcomes since 1990, and basic clinical and questionnaire data from biennial health examination provided by Korea National Health Service.
('The', 'The', 'DT', 'B-NP', 'O')
('Twin', 'Twin', 'NNP', 'I-NP', 'O')
('Register', 'Register', 'NNP', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('outcomes', 'outcome', 'VBZ', 'B-VP', 'O')
('since', 'since', 'IN', 'B-PP', 'O')
('1990,', '1990,', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('basic', 'basic', 'JJ', 'B-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('questionnaire', 'questionnaire', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('biennial', 'biennial', 'JJ', 'B-NP', 'O')
('health', 'health', 'NN', 'I-NP', 'O')
('examination', 'examination', 'NN', 'I-NP', 'O')
('provided', 'provide', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Korea', 'Korea', 'NNP', 'B-NP', 'O')
('National', 'National', 'NNP', 'I-NP', 'O')
('Health', 'Health', 'NNP', 'I-NP', 'O')
('Service.', 'Service.', 'NNP', 'I-NP', 'O')
The author attempted to calculate some of the genetic parameters of cancers in this population.
('The', 'The', 'DT', 'B-NP', 'O')
('author', 'author', 'NN', 'I-NP', 'O')
('attempted', 'attempt', 'VBD', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('calculate', 'calculate', 'VB', 'I-VP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('parameters', 'parameter', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cancers', 'cancer', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('population.', 'population.', 'NN', 'I-NP', 'O')
Common cancers in Korea known to have familial aggregation (colon and breast) and cancers of which familial aggregation is unclear (stomach cancer) were examined for their familial recurrence risks.
('Common', 'Common', 'JJ', 'B-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Korea', 'Korea', 'NNP', 'B-NP', 'O')
('known', 'know', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('familial', 'familial', 'JJ', 'B-NP', 'O')
('aggregation', 'aggregation', 'NN', 'I-NP', 'O')
('(colon', '(colon', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('breast)', 'breast)', 'NN', 'B-NP', 'O')
