Prediction Model for the Cellular Immortalization and Transformation Potentials of Cell SubstratesThe establishment of DNA microarray technology has enabled high-throughput analysis and molecular profiling of various types of cancers.
('Prediction', 'Prediction', 'NN', 'B-NP', 'O')
('Model', 'Model', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Cellular', 'Cellular', 'JJ', 'I-NP', 'O')
('Immortalization', 'Immortalization', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Transformation', 'Transformation', 'NN', 'I-NP', 'O')
('Potentials', 'Potential', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Cell', 'Cell', 'NNP', 'B-NP', 'O')
('Substrates', 'Substrates', 'NNP', 'I-NP', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('establishment', 'establishment', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('DNA', 'DNA', 'NN', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('technology', 'technology', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('enabled', 'enable', 'VBN', 'I-VP', 'O')
('high-throughput', 'high-throughput', 'JJ', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('molecular', 'molecular', 'JJ', 'B-NP', 'O')
('profiling', 'profiling', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('various', 'various', 'JJ', 'B-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cancers.', 'cancers.', 'NN', 'B-NP', 'O')
By using the gene expression data from microarray analysis we are able to investigate diagnostic applications at the molecular level.
('By', 'By', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('able', 'able', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('investigate', 'investigate', 'VB', 'I-VP', 'O')
('diagnostic', 'diagnostic', 'JJ', 'B-NP', 'O')
('applications', 'application', 'NNS', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('molecular', 'molecular', 'JJ', 'I-NP', 'O')
('level.', 'level.', 'NN', 'I-NP', 'O')
The most important step in the application of microarray technology to cancer diagnostics is the selection of specific markers from gene expression profiles.
('The', 'The', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('important', 'important', 'JJ', 'I-NP', 'O')
('step', 'step', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('application', 'application', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('technology', 'technology', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('cancer', 'cancer', 'NN', 'B-NP', 'O')
('diagnostics', 'diagnostic', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
