ORF Miner: a Web-based ORF Search Tool.
('ORF', 'ORF', 'NN', 'B-NP', 'B-DNA')
('Miner:', 'Miner:', ':', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Web-based', 'Web-based', 'JJ', 'I-NP', 'O')
('ORF', 'ORF', 'NNP', 'I-NP', 'O')
('Search', 'Search', 'NNP', 'I-NP', 'O')
('Tool.', 'Tool.', 'NNP', 'I-NP', 'O')
The primary clue for locating protein-coding regions is the open reading frame and the determination of ORFs (Open Reading Frames) is the first step toward the gene prediction, especially for prokaryotes.
('The', 'The', 'DT', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'B-DNA')
('clue', 'clue', 'NN', 'I-NP', 'I-DNA')
('for', 'for', 'IN', 'B-PP', 'I-DNA')
('locating', 'locate', 'VBG', 'B-VP', 'I-DNA')
('protein-coding', 'protein-coding', 'JJ', 'B-NP', 'I-DNA')
('regions', 'region', 'NNS', 'I-NP', 'I-DNA')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('open', 'open', 'JJ', 'I-NP', 'B-DNA')
('reading', 'reading', 'NN', 'I-NP', 'I-DNA')
('frame', 'frame', 'NN', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('determination', 'determination', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('ORFs', 'ORFs', 'NNP', 'B-NP', 'B-DNA')
('(Open', '(Open', 'NNP', 'I-NP', 'O')
('Reading', 'Reading', 'NNP', 'I-NP', 'O')
('Frames)', 'Frames)', 'NNP', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('step', 'step', 'NN', 'I-NP', 'O')
('toward', 'toward', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('prediction,', 'prediction,', 'VBD', 'B-VP', 'O')
('especially', 'especially', 'RB', 'B-ADVP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('prokaryotes.', 'prokaryotes.', 'NN', 'B-NP', 'O')
In this respect, we have developed a web-based ORF search tool called ORF Miner.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('respect,', 'respect,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
