Gene Expression Analysis for Statin-induced Cytotoxicity from Rat Primary Hepatocytes.
('Gene', 'Gene', 'NN', 'B-NP', 'O')
('Expression', 'Expression', 'NN', 'I-NP', 'O')
('Analysis', 'Analysis', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Statin-induced', 'Statin-induced', 'JJ', 'B-NP', 'O')
('Cytotoxicity', 'Cytotoxicity', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('Rat', 'Rat', 'NNP', 'B-NP', 'O')
('Primary', 'Primary', 'NNP', 'I-NP', 'O')
('Hepatocytes.', 'Hepatocytes.', 'NNP', 'I-NP', 'O')
Statins are competitive inhibitors of hydroxy3methyl glutaryl coenzyme A (HMG-CoA) reductase and used most frequently to reduce plasma cholesterol levels and to decrease cardiovascular events.
('Statins', 'Statin', 'NNS', 'B-NP', 'B-protein')
('are', 'be', 'VBP', 'B-VP', 'O')
('competitive', 'competitive', 'JJ', 'B-NP', 'O')
('inhibitors', 'inhibitor', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('hydroxy3methyl', 'hydroxy3methyl', 'NN', 'B-NP', 'O')
('glutaryl', 'glutaryl', 'NN', 'I-NP', 'O')
('coenzyme', 'coenzyme', 'NN', 'I-NP', 'O')
('A', 'A', 'NN', 'I-NP', 'O')
('(HMG-CoA)', '(HMG-CoA)', 'NN', 'I-NP', 'B-protein')
('reductase', 'reductase', 'NN', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'O', 'O')
('used', 'use', 'VBN', 'B-VP', 'O')
('most', 'most', 'RBS', 'B-ADVP', 'O')
('frequently', 'frequently', 'RB', 'I-ADVP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('reduce', 'reduce', 'VB', 'I-VP', 'O')
('plasma', 'plasma', 'NN', 'B-NP', 'O')
('cholesterol', 'cholesterol', 'NN', 'I-NP', 'O')
('levels', 'level', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('decrease', 'decrease', 'VB', 'I-VP', 'O')
('cardiovascular', 'cardiovascular', 'JJ', 'B-NP', 'O')
('events.', 'events.', 'NNS', 'I-NP', 'O')
However, statins also have been reported to have undesirable side effects such as myotoxicity and hepatotoxicity associated with their intrinsic efficacy mechanisms.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('reported', 'report', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('undesirable', 'undesirable', 'JJ', 'B-NP', 'O')
('side', 'side', 'NN', 'I-NP', 'O')
('effects', 'effect', 'NNS', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('myotoxicity', 'myotoxicity', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('hepatotoxicity', 'hepatotoxicity', 'NN', 'I-NP', 'O')
('associated', 'associate', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('intrinsic', 'intrinsic', 'JJ', 'I-NP', 'O')
('efficacy', 'efficacy', 'NN', 'I-NP', 'O')
('mechanisms.', 'mechanisms.', 'NNS', 'I-NP', 'O')
Clinical studies recurrently reported that statin therapy elevated the level of liver enzymes such as ALT and AST in patients suggesting possible liver toxicity due to statins.
('Clinical', 'Clinical', 'JJ', 'B-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('recurrently', 'recurrently', 'RB', 'B-ADVP', 'O')
('reported', 'report', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('statin', 'statin', 'NN', 'B-NP', 'O')
('therapy', 'therapy', 'NN', 'I-NP', 'O')
('elevated', 'elevate', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
