A Comparative Analysis of Monofunctional Biosynthetic Peptidoglycan Transglycosylase (MBPT) from Pathogenic and Non-pathogenic Bacteria.
('A', 'A', 'DT', 'B-NP', 'O')
('Comparative', 'Comparative', 'JJ', 'I-NP', 'O')
('Analysis', 'Analysis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Monofunctional', 'Monofunctional', 'JJ', 'B-NP', 'O')
('Biosynthetic', 'Biosynthetic', 'JJ', 'I-NP', 'O')
('Peptidoglycan', 'Peptidoglycan', 'NN', 'I-NP', 'O')
('Transglycosylase', 'Transglycosylase', 'NN', 'I-NP', 'O')
('(MBPT)', '(MBPT)', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('Pathogenic', 'Pathogenic', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Non-pathogenic', 'Non-pathogenic', 'JJ', 'I-NP', 'O')
('Bacteria.', 'Bacteria.', 'NNP', 'I-NP', 'O')
Monofunctional biosynthetic peptidoglycan transglycosylase (MBPT) catalyzes the formation of the glycan chain in bacterial cell walls from peptidoglycan subunits: N-acetylglucosamine (NAG) and acetylmuramic acid (NAM).
('Monofunctional', 'Monofunctional', 'JJ', 'B-NP', 'O')
('biosynthetic', 'biosynthetic', 'JJ', 'I-NP', 'O')
('peptidoglycan', 'peptidoglycan', 'NN', 'I-NP', 'O')
('transglycosylase', 'transglycosylase', 'NN', 'I-NP', 'O')
('(MBPT)', '(MBPT)', 'NN', 'I-NP', 'O')
('catalyzes', 'catalyze', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('formation', 'formation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('glycan', 'glycan', 'NN', 'I-NP', 'B-protein')
('chain', 'chain', 'NN', 'I-NP', 'I-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('bacterial', 'bacterial', 'JJ', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('walls', 'wall', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('peptidoglycan', 'peptidoglycan', 'NN', 'B-NP', 'O')
('subunits:', 'subunits:', 'NN', 'I-NP', 'O')
('N-acetylglucosamine', 'N-acetylglucosamine', 'NN', 'I-NP', 'O')
('(NAG)', '(NAG)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('acetylmuramic', 'acetylmuramic', 'JJ', 'B-NP', 'O')
('acid', 'acid', 'NN', 'I-NP', 'O')
('(NAM).', '(NAM).', 'NNP', 'B-NP', 'O')
Bifunctional glycosyltransferases such as the penicillin binding protein (PBP) have peptidoglycan glycosyltransferase (PGT) on their C terminal end which links together the peptidoglycan subunits while transpeptidase (TP) on the N terminal end crosslinks the peptide moieties on the NAM monosaccharide of the peptide subunits to create the bacterial cell wall.
('Bifunctional', 'Bifunctional', 'JJ', 'B-NP', 'B-protein')
('glycosyltransferases', 'glycosyltransferas', 'NNS', 'I-NP', 'I-protein')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('penicillin', 'penicillin', 'NN', 'I-NP', 'B-protein')
('binding', 'binding', 'NN', 'I-NP', 'I-protein')
('protein', 'protein', 'NN', 'I-NP', 'I-protein')
('(PBP)', '(PBP)', 'NN', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('peptidoglycan', 'peptidoglycan', 'NN', 'B-NP', 'O')
('glycosyltransferase', 'glycosyltransferase', 'NN', 'I-NP', 'O')
('(PGT)', '(PGT)', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('C', 'C', 'NN', 'I-NP', 'B-protein')
('terminal', 'terminal', 'JJ', 'I-NP', 'I-protein')
('end', 'end', 'NN', 'I-NP', 'I-protein')
('which', 'which', 'WDT', 'B-NP', 'O')
('links', 'link', 'VBZ', 'B-VP', 'O')
('together', 'together', 'RB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('peptidoglycan', 'peptidoglycan', 'NN', 'I-NP', 'B-protein')
('subunits', 'subunit', 'NNS', 'I-NP', 'I-protein')
('while', 'while', 'IN', 'B-SBAR', 'O')
('transpeptidase', 'transpeptidase', 'NN', 'B-NP', 'B-protein')
('(TP)', '(TP)', 'NN', 'I-NP', 'I-protein')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('N', 'N', 'NN', 'I-NP', 'B-protein')
('terminal', 'terminal', 'JJ', 'I-NP', 'I-protein')
('end', 'end', 'NN', 'I-NP', 'I-protein')
('crosslinks', 'crosslink', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('peptide', 'peptide', 'NN', 'I-NP', 'B-protein')
('moieties', 'moiety', 'NNS', 'I-NP', 'I-protein')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('NAM', 'NAM', 'NN', 'I-NP', 'O')
('monosaccharide', 'monosaccharide', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('peptide', 'peptide', 'NN', 'I-NP', 'B-protein')
('subunits', 'subunit', 'NNS', 'I-NP', 'I-protein')
('to', 'to', 'TO', 'B-VP', 'O')
('create', 'create', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('bacterial', 'bacterial', 'JJ', 'I-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('wall.', 'wall.', 'NN', 'I-NP', 'O')
The singular function of MBPT resembles the C terminal end of PBP as it too contains and utilizes a similar PGT domain.
('The', 'The', 'DT', 'B-NP', 'O')
('singular', 'singular', 'JJ', 'I-NP', 'O')
('function', 'function', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('MBPT', 'MBPT', 'NN', 'B-NP', 'B-protein')
