Nomogram for Predicting Survival for Oral Squamous Cell Carcinoma.
('Nomogram', 'Nomogram', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Predicting', 'Predict', 'VBG', 'B-VP', 'O')
('Survival', 'Survival', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Oral', 'Oral', 'NNP', 'B-NP', 'O')
('Squamous', 'Squamous', 'NNP', 'I-NP', 'O')
('Cell', 'Cell', 'NNP', 'I-NP', 'O')
('Carcinoma.', 'Carcinoma.', 'NNP', 'I-NP', 'O')
An accurate system for predicting the survival of patients with oral squamous cell carcinoma (OSCC) will be useful for selecting appropriate therapies.
('An', 'An', 'DT', 'B-NP', 'O')
('accurate', 'accurate', 'JJ', 'I-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('predicting', 'predict', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('survival', 'survival', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('patients', 'patient', 'NNS', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('oral', 'oral', 'JJ', 'B-NP', 'O')
('squamous', 'squamous', 'JJ', 'I-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('carcinoma', 'carcinoma', 'NN', 'I-NP', 'O')
('(OSCC)', '(OSCC)', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('useful', 'useful', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('selecting', 'select', 'VBG', 'B-VP', 'O')
('appropriate', 'appropriate', 'JJ', 'B-NP', 'O')
('therapies.', 'therapies.', 'NNS', 'I-NP', 'O')
A nomogram for predicting survival was constructed from 96 patients with primary OSCC who underwent surgical resection between January 1994 and June 2003 at the Yonsei Dental Hospital in Seoul, Korea.
('A', 'A', 'DT', 'B-NP', 'O')
('nomogram', 'nomogram', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('predicting', 'predict', 'VBG', 'B-VP', 'O')
('survival', 'survival', 'NN', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('constructed', 'construct', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('96', '96', 'CD', 'B-NP', 'O')
('patients', 'patient', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('primary', 'primary', 'JJ', 'B-NP', 'O')
('OSCC', 'OSCC', 'NN', 'I-NP', 'O')
('who', 'who', 'WP', 'B-NP', 'O')
('underwent', 'undergo', 'VBD', 'B-VP', 'O')
('surgical', 'surgical', 'JJ', 'B-NP', 'O')
('resection', 'resection', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('January', 'January', 'NNP', 'B-NP', 'O')
('1994', '1994', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('June', 'June', 'NNP', 'B-NP', 'O')
('2003', '2003', 'CD', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Yonsei', 'Yonsei', 'NNP', 'I-NP', 'O')
('Dental', 'Dental', 'NNP', 'I-NP', 'O')
('Hospital', 'Hospital', 'NNP', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Seoul,', 'Seoul,', 'NNP', 'B-NP', 'O')
('Korea.', 'Korea.', 'NNP', 'I-NP', 'O')
We performed univariate and multivariate Cox regression to identify survival prognostic factors.
('We', 'We', 'PRP', 'B-NP', 'O')
('performed', 'perform', 'VBD', 'B-VP', 'O')
('univariate', 'univariate', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('multivariate', 'multivariate', 'JJ', 'I-NP', 'O')
('Cox', 'Cox', 'NNP', 'I-NP', 'O')
('regression', 'regression', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('identify', 'identify', 'VB', 'I-VP', 'O')
('survival', 'survival', 'NN', 'B-NP', 'O')
('prognostic', 'prognostic', 'JJ', 'I-NP', 'O')
('factors.', 'factors.', 'NNS', 'I-NP', 'O')
For the early stage patients group, the nomogram was able to predict the 5 and 10 year survival from OSCC with a concordance index of 0.72.
('For', 'For', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('early', 'early', 'JJ', 'I-NP', 'O')
('stage', 'stage', 'NN', 'I-NP', 'O')
('patients', 'patient', 'NNS', 'I-NP', 'O')
('group,', 'group,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('nomogram', 'nomogram', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('able', 'able', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('predict', 'predict', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('5', '5', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('10', '10', 'CD', 'I-NP', 'O')
('year', 'year', 'NN', 'I-NP', 'O')
('survival', 'survival', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('OSCC', 'OSCC', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('concordance', 'concordance', 'NN', 'I-NP', 'O')
('index', 'index', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('0.72.', '0.72.', 'CD', 'B-NP', 'O')
The total point assigned by the nomogram was a significant factor for predicting survival.
('The', 'The', 'DT', 'B-NP', 'O')
('total', 'total', 'JJ', 'I-NP', 'O')
('point', 'point', 'NN', 'I-NP', 'O')
('assigned', 'assign', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('nomogram', 'nomogram', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('factor', 'factor', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('predicting', 'predict', 'VBG', 'B-VP', 'O')
('survival.', 'survival.', 'NN', 'B-NP', 'O')
This nomogram was able to accurately predict the survival after treatment of an individual patient with OSCC and may have practical utility for deciding adjuvant treatment.
('This', 'This', 'DT', 'B-NP', 'O')
('nomogram', 'nomogram', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('able', 'able', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('accurately', 'accurately', 'RB', 'I-VP', 'O')
('predict', 'predict', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('survival', 'survival', 'NN', 'I-NP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('treatment', 'treatment', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('individual', 'individual', 'JJ', 'I-NP', 'O')
('patient', 'patient', 'NN', 'I-NP', 'O')
