ManBIF: a Program for Mining and Managing Biobank Impact Factor Data.
('ManBIF:', 'ManBIF:', ':', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Program', 'Program', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Mining', 'Mining', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Managing', 'Managing', 'NNP', 'B-NP', 'O')
('Biobank', 'Biobank', 'NNP', 'I-NP', 'O')
('Impact', 'Impact', 'NNP', 'I-NP', 'O')
('Factor', 'Factor', 'NNP', 'I-NP', 'O')
('Data.', 'Data.', 'NNP', 'I-NP', 'O')
Biobank Impact Factor (BIF), which is a very effective criterion to evaluate the activity of biobanks, can be estimated by the citation information of biobanks from scientific papers.
('Biobank', 'Biobank', 'NNP', 'B-NP', 'O')
('Impact', 'Impact', 'NNP', 'I-NP', 'O')
('Factor', 'Factor', 'NNP', 'I-NP', 'O')
('(BIF),', '(BIF),', 'NNP', 'I-NP', 'B-protein')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('very', 'very', 'RB', 'I-NP', 'O')
('effective', 'effective', 'JJ', 'I-NP', 'O')
('criterion', 'criterion', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('evaluate', 'evaluate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('biobanks,', 'biobanks,', 'NN', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('estimated', 'estimate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('citation', 'citation', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('biobanks', 'biobank', 'NNS', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('scientific', 'scientific', 'JJ', 'B-NP', 'O')
('papers.', 'papers.', 'NNS', 'I-NP', 'O')
