An Iterative Normalization Algorithm for cDNA Microarray Medical Data AnalysissA cDNA microarray experiment is one of the most usefulhigh-throughput experiments in medical informatics for monitoring gene expression levels.
('An', 'An', 'DT', 'B-NP', 'O')
('Iterative', 'Iterative', 'JJ', 'I-NP', 'O')
('Normalization', 'Normalization', 'NN', 'I-NP', 'O')
('Algorithm', 'Algorithm', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('cDNA', 'cDNA', 'NN', 'B-NP', 'B-DNA')
('Microarray', 'Microarray', 'NNP', 'I-NP', 'O')
('Medical', 'Medical', 'NNP', 'I-NP', 'O')
('Data', 'Data', 'NNP', 'I-NP', 'O')
('Analysiss', 'Analysiss', 'NNP', 'I-NP', 'O')
('A', 'A', 'NNP', 'I-NP', 'O')
('cDNA', 'cDNA', 'NN', 'I-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('experiment', 'experiment', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('useful', 'useful', 'JJ', 'I-NP', 'O')
('high-throughput', 'high-throughput', 'JJ', 'I-NP', 'O')
('experiments', 'experiment', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('medical', 'medical', 'JJ', 'B-NP', 'O')
('informatics', 'informatic', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('monitoring', 'monitor', 'VBG', 'B-VP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('levels.', 'levels.', 'NN', 'I-NP', 'O')
Statistical analysis with a cDNA microarray medical data requires a normalization procedure to reduce the systematic errors that are impossible to control by the experimental conditions.
('Statistical', 'Statistical', 'JJ', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('cDNA', 'cDNA', 'NN', 'I-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('medical', 'medical', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('requires', 'require', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('procedure', 'procedure', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('reduce', 'reduce', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('systematic', 'systematic', 'JJ', 'I-NP', 'O')
('errors', 'error', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('impossible', 'impossible', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('control', 'control', 'VB', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('experimental', 'experimental', 'JJ', 'I-NP', 'O')
('conditions.', 'conditions.', 'NN', 'I-NP', 'O')
Despite the variety of normalization methods, this paper suggests a more general and synthetic normalization algorithm with a control gene set based on previous studies of normalization.
('Despite', 'Despite', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variety', 'variety', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('normalization', 'normalization', 'NN', 'B-NP', 'O')
('methods,', 'methods,', 'NN', 'I-NP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper', 'paper', 'NN', 'I-NP', 'O')
('suggests', 'suggest', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('more', 'more', 'RBR', 'I-NP', 'O')
('general', 'general', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
