Application of Decision Tree for the Classification of Antimicrobial PeptideThe purpose of this study was to investigate the use of decision tree for the classification of antimicrobial peptides.
('Application', 'Application', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Decision', 'Decision', 'NNP', 'B-NP', 'O')
('Tree', 'Tree', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Classification', 'Classification', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Antimicrobial', 'Antimicrobial', 'JJ', 'B-NP', 'O')
('Peptide', 'Peptide', 'NN', 'I-NP', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('purpose', 'purpose', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('investigate', 'investigate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('use', 'use', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('decision', 'decision', 'NN', 'B-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'O')
('peptides.', 'peptides.', 'NNS', 'I-NP', 'O')
The classification was based on the activities of known antimicrobial peptides against common microbes including Escherichia coli and Staphyiococcus aureus.
('The', 'The', 'DT', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('based', 'base', 'VBN', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('activities', 'activity', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
