.
('.', '.', '.', 'O', 'O')
DNA Pooling as a Tool for CaseControl Association Studies of Complex Traits                 8
('DNA', 'DNA', 'NN', 'B-NP', 'O')
('Pooling', 'Pooling', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Tool', 'Tool', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('CaseControl', 'CaseControl', 'NNP', 'B-NP', 'O')
('Association', 'Association', 'NNP', 'I-NP', 'O')
('Studies', 'Studies', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Complex', 'Complex', 'NNP', 'B-NP', 'O')
('Traits', 'Traits', 'NNP', 'I-NP', 'O')
('8', '8', 'CD', 'I-NP', 'O')
