Patome: Database of Patented Bio-sequences.
('Patome:', 'Patome:', 'NNP', 'B-NP', 'O')
('Database', 'Database', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Patented', 'Patented', 'NNP', 'B-NP', 'O')
('Bio-sequences.', 'Bio-sequences.', 'NNP', 'I-NP', 'O')
We have built a database server called Patome which contains the annotation information for patented bio-sequences from the Korean Intellectual Property Office (KIPO).
('We', 'We', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('built', 'build', 'VBN', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('server', 'server', 'NN', 'I-NP', 'O')
('called', 'call', 'VBN', 'B-VP', 'O')
('Patome', 'Patome', 'NNP', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('contains', 'contain', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('annotation', 'annotation', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('patented', 'patented', 'JJ', 'B-NP', 'B-DNA')
('bio-sequences', 'bio-sequence', 'NNS', 'I-NP', 'I-DNA')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Korean', 'Korean', 'NNP', 'I-NP', 'O')
('Intellectual', 'Intellectual', 'NNP', 'I-NP', 'O')
('Property', 'Property', 'NNP', 'I-NP', 'O')
('Office', 'Office', 'NNP', 'I-NP', 'O')
('(KIPO).', '(KIPO).', 'NNP', 'I-NP', 'O')
The aims of the Patome are to annotate Korean patent bio-sequences and to provide information on patent relationship of public database entries.
('The', 'The', 'DT', 'B-NP', 'O')
('aims', 'aim', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Patome', 'Patome', 'NNP', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('annotate', 'annotate', 'VB', 'I-VP', 'O')
('Korean', 'Korean', 'JJ', 'B-NP', 'B-DNA')
('patent', 'patent', 'NN', 'I-NP', 'I-DNA')
('bio-sequences', 'bio-sequence', 'NNS', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('provide', 'provide', 'VB', 'I-VP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('patent', 'patent', 'NN', 'B-NP', 'O')
('relationship', 'relationship', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('public', 'public', 'JJ', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('entries.', 'entries.', 'NN', 'I-NP', 'O')
The patent sequences were annotated with Reference Sequence (RefSeq) or NCBI’s nr database.
('The', 'The', 'DT', 'B-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'B-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('annotated', 'annotate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('Reference', 'Reference', 'NN', 'B-NP', 'O')
('Sequence', 'Sequence', 'NN', 'I-NP', 'O')
('(RefSeq)', '(RefSeq)', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('NCBI’s', 'NCBI’', 'NNS', 'I-NP', 'O')
('nr', 'nr', 'NN', 'I-NP', 'O')
('database.', 'database.', 'NN', 'I-NP', 'O')
The raw patent data and the annotated data were stored in the database.
('The', 'The', 'DT', 'B-NP', 'O')
('raw', 'raw', 'JJ', 'I-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('annotated', 'annotate', 'VBN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('stored', 'store', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('database.', 'database.', 'NN', 'I-NP', 'O')
Annotation information can be used to determine whether a particular RefSeq ID or NCBI’s nr ID is related to Korean patent.
('Annotation', 'Annotation', 'NN', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('whether', 'whether', 'IN', 'B-SBAR', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('particular', 'particular', 'JJ', 'I-NP', 'O')
('RefSeq', 'RefSeq', 'NN', 'I-NP', 'O')
('ID', 'ID', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('NCBI’s', 'NCBI’', 'NNS', 'I-NP', 'O')
('nr', 'nr', 'NN', 'I-NP', 'O')
('ID', 'ID', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('related', 'related', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('Korean', 'Korean', 'JJ', 'B-NP', 'O')
('patent.', 'patent.', 'NN', 'I-NP', 'O')
Patome infrastructure consists of three components the database itself, a sequence data loader, and an online database query interface.
('Patome', 'Patome', 'NN', 'B-NP', 'O')
('infrastructure', 'infrastructure', 'NN', 'I-NP', 'O')
('consists', 'consist', 'VBZ', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('components', 'component', 'NNS', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('itself,', 'itself,', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('loader,', 'loader,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('online', 'online', 'NN', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('query', 'query', 'NN', 'I-NP', 'O')
('interface.', 'interface.', 'NN', 'I-NP', 'O')
The database can be queried using submission number, organism, title, applicant name, or accession number.
('The', 'The', 'DT', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('queried', 'query', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('submission', 'submission', 'NN', 'B-NP', 'O')
('number,', 'number,', 'NN', 'I-NP', 'O')
('organism,', 'organism,', 'NN', 'I-NP', 'O')
('title,', 'title,', 'NN', 'I-NP', 'O')
('applicant', 'applicant', 'JJ', 'I-NP', 'O')
('name,', 'name,', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('accession', 'accession', 'NN', 'I-NP', 'O')
