   .
('.', '.', '.', 'O', 'O')
X-linked Gene Expression Profiles by RNAiMediated BRCA1 Knockdown in MCF7 Cells    BRCA1 RNA interference (RNAi) expression vector Cell culture and transfection2Total RNA isolation and quantitative realtime RT-PCRWestern blottingX chromosomespecific cDNA microarrays                                                                                  BRCA1 knockdown by the RNAi method                                                                                     X-linked gene expression patterns by cDNA microarray22
('X-linked', 'X-linked', 'JJ', 'B-NP', 'O')
('Gene', 'Gene', 'NN', 'I-NP', 'O')
('Expression', 'Expression', 'NN', 'I-NP', 'O')
('Profiles', 'Profile', 'NNS', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('RNAiMediated', 'RNAiMediate', 'VBN', 'B-NP', 'O')
('BRCA1', 'BRCA1', 'NN', 'I-NP', 'B-DNA')
('Knockdown', 'Knockdown', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('MCF7', 'MCF7', 'NN', 'B-NP', 'O')
('Cells', 'Cell', 'VBZ', 'B-VP', 'O')
('BRCA1', 'BRCA1', 'NN', 'B-NP', 'B-DNA')
('RNA', 'RNA', 'NN', 'I-NP', 'O')
('interference', 'interference', 'NN', 'I-NP', 'O')
('(RNAi)', '(RNAi)', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('vector', 'vector', 'NN', 'I-NP', 'O')
('Cell', 'Cell', 'NN', 'I-NP', 'O')
('culture', 'culture', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('transfection2Total', 'transfection2Total', 'NN', 'B-NP', 'O')
('RNA', 'RNA', 'NN', 'I-NP', 'O')
('isolation', 'isolation', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('quantitative', 'quantitative', 'JJ', 'B-NP', 'O')
('realtime', 'realtime', 'NN', 'I-NP', 'O')
('RT-PCRWestern', 'RT-PCRWestern', 'JJ', 'I-NP', 'O')
('blottingX', 'blottingX', 'NN', 'I-NP', 'O')
('chromosomespecific', 'chromosomespecific', 'JJ', 'I-NP', 'O')
('cDNA', 'cDNA', 'NN', 'I-NP', 'O')
('microarrays', 'microarray', 'NNS', 'I-NP', 'O')
('BRCA1', 'BRCA1', 'NN', 'I-NP', 'B-DNA')
('knockdown', 'knockdown', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('RNAi', 'RNAi', 'NNP', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('X-linked', 'X-linked', 'JJ', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('patterns', 'pattern', 'NNS', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('cDNA', 'cDNA', 'NN', 'B-NP', 'O')
('microarray22', 'microarray22', 'NN', 'I-NP', 'O')
