Sample Size and Power Estimation in Case-Control Genetic Association StudiesIn planning a genetic association study, it is necessary to determine the number of samples to be collected for the study in order to achieve sufficient power to detect the hypothesized effect.
('Sample', 'Sample', 'NNP', 'B-NP', 'O')
('Size', 'Size', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Power', 'Power', 'NNP', 'B-NP', 'O')
('Estimation', 'Estimation', 'NNP', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Case-Control', 'Case-Control', 'NNP', 'B-NP', 'O')
('Genetic', 'Genetic', 'NNP', 'I-NP', 'O')
('Association', 'Association', 'NNP', 'I-NP', 'O')
('Studies', 'Studies', 'NNP', 'I-NP', 'O')
('In', 'In', 'IN', 'B-PP', 'O')
('planning', 'plan', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('study,', 'study,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('necessary', 'necessary', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('samples', 'sample', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('collected', 'collect', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-SBAR', 'O')
('order', 'order', 'NN', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('achieve', 'achieve', 'VB', 'I-VP', 'O')
('sufficient', 'sufficient', 'JJ', 'B-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('detect', 'detect', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('hypothesized', 'hypothesize', 'VBN', 'I-NP', 'O')
('effect.', 'effect.', 'NN', 'I-NP', 'O')
The case-control design is increasingly used for genetic association studies due to the simplicity of its design.
('The', 'The', 'DT', 'B-NP', 'O')
('case-control', 'case-control', 'JJ', 'I-NP', 'O')
('design', 'design', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('increasingly', 'increasingly', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('due', 'due', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('simplicity', 'simplicity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('design.', 'design.', 'NN', 'I-NP', 'O')
We review the methods for the sample size and power    calculations    in    case-control    genetic    association studies between a marker locus and a disease phenotype.
('We', 'We', 'PRP', 'B-NP', 'O')
('review', 'review', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('calculations', 'calculation', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('case-control', 'case-control', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('marker', 'marker', 'NN', 'I-NP', 'O')
('locus', 'locus', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
('phenotype.', 'phenotype.', 'NN', 'I-NP', 'O')
Genetic association studies assess correlations between a disease phenotype and a marker genotype on a pop­ulation or family-based scale.
('Genetic', 'Genetic', 'JJ', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('assess', 'assess', 'VBP', 'B-VP', 'O')
('correlations', 'correlation', 'NNS', 'B-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
('phenotype', 'phenotype', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('marker', 'marker', 'NN', 'I-NP', 'O')
('genotype', 'genotype', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('pop\xad', 'pop\xad', 'NN', 'I-NP', 'O')
('ulation', 'ulation', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('family-based', 'family-based', 'JJ', 'B-NP', 'O')
('scale.', 'scale.', 'NN', 'I-NP', 'O')
In some respects, testing for an association between a disease phenotype and a marker locus is not different from testing for statistical as­ sociation between any two variables, regardless of being genetic or not.
('In', 'In', 'IN', 'B-PP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('respects,', 'respects,', 'NN', 'I-NP', 'O')
('testing', 'testing', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
('phenotype', 'phenotype', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('marker', 'marker', 'NN', 'I-NP', 'O')
('locus', 'locus', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'O', 'O')
