A Computer-aided Design Tool with Semiautomatic Image-Processing Features for Visualizing Biological Pathways.
('A', 'A', 'DT', 'B-NP', 'O')
('Computer-aided', 'Computer-aided', 'JJ', 'I-NP', 'O')
('Design', 'Design', 'NN', 'I-NP', 'O')
('Tool', 'Tool', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('Semiautomatic', 'Semiautomatic', 'JJ', 'B-NP', 'O')
('Image-Processing', 'Image-Processing', 'JJ', 'I-NP', 'O')
('Features', 'Feature', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Visualizing', 'Visualizing', 'NNP', 'B-NP', 'O')
('Biological', 'Biological', 'NNP', 'I-NP', 'O')
('Pathways.', 'Pathways.', 'NNP', 'I-NP', 'O')
The explosion in biological data resulting from high throughput experiments requires new software tools to manipulate and display pathways in a way that can integrate disparate sources of information.
('The', 'The', 'DT', 'B-NP', 'O')
('explosion', 'explosion', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('resulting', 'result', 'VBG', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('high', 'high', 'JJ', 'B-NP', 'O')
('throughput', 'throughput', 'NN', 'I-NP', 'O')
('experiments', 'experiment', 'NNS', 'I-NP', 'O')
('requires', 'require', 'VBZ', 'B-VP', 'O')
('new', 'new', 'JJ', 'B-NP', 'O')
('software', 'software', 'NN', 'I-NP', 'O')
('tools', 'tool', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('manipulate', 'manipulate', 'VB', 'I-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('display', 'display', 'VB', 'I-VP', 'O')
('pathways', 'pathway', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('way', 'way', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('integrate', 'integrate', 'VB', 'I-VP', 'O')
('disparate', 'disparate', 'JJ', 'B-NP', 'O')
('sources', 'source', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('information.', 'information.', 'NN', 'B-NP', 'O')
A visual Java-based CAD tool for drawing and annotating biological pathways with semiautomatic imageprocessing features is described in this paper.
('A', 'A', 'DT', 'B-NP', 'O')
('visual', 'visual', 'JJ', 'I-NP', 'O')
('Java-based', 'Java-based', 'JJ', 'I-NP', 'O')
('CAD', 'CAD', 'NN', 'I-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('drawing', 'draw', 'VBG', 'B-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('annotating', 'annotate', 'VBG', 'I-VP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('semiautomatic', 'semiautomatic', 'JJ', 'B-NP', 'O')
('imageprocessing', 'imageprocessing', 'NN', 'I-NP', 'O')
('features', 'feature', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('described', 'describe', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper.', 'paper.', 'NN', 'I-NP', 'O')
The result of the image-editing process is an XML file for the appropriate links.
('The', 'The', 'DT', 'B-NP', 'O')
('result', 'result', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('image-editing', 'image-editing', 'JJ', 'I-NP', 'O')
('process', 'process', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('XML', 'XML', 'NN', 'I-NP', 'O')
('file', 'file', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('appropriate', 'appropriate', 'JJ', 'I-NP', 'O')
('links.', 'links.', 'NN', 'I-NP', 'O')
This tool integrates the pathway images and XML file sources.
('This', 'This', 'DT', 'B-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('integrates', 'integrate', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('images', 'image', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('XML', 'XML', 'NN', 'B-NP', 'O')
('file', 'file', 'NN', 'I-NP', 'O')
('sources.', 'sources.', 'NN', 'I-NP', 'O')
The system has facilities for linking graphical objects to external databases and is capable of reproducing existing visual representations of pathway maps.
('The', 'The', 'DT', 'B-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('facilities', 'facility', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('linking', 'link', 'VBG', 'B-VP', 'O')
('graphical', 'graphical', 'JJ', 'B-NP', 'O')
('objects', 'object', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
