COCAW: A Genome-wide Pattern Search System for Designing Microbial Probes.
('COCAW:', 'COCAW:', 'NNP', 'B-NP', 'O')
('A', 'A', 'NNP', 'I-NP', 'O')
('Genome-wide', 'Genome-wide', 'NNP', 'I-NP', 'O')
('Pattern', 'Pattern', 'NNP', 'I-NP', 'O')
('Search', 'Search', 'NNP', 'I-NP', 'O')
('System', 'System', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Designing', 'Designing', 'NNP', 'B-NP', 'O')
('Microbial', 'Microbial', 'NNP', 'I-NP', 'O')
('Probes.', 'Probes.', 'NNP', 'I-NP', 'O')
A few bioinformatics tools have been used to find out conserved regions as probes.
('A', 'A', 'DT', 'B-NP', 'O')
('few', 'few', 'JJ', 'I-NP', 'O')
('bioinformatics', 'bioinformatic', 'NNS', 'I-NP', 'O')
('tools', 'tool', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('conserved', 'conserve', 'VBN', 'B-NP', 'O')
('regions', 'region', 'NNS', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('probes.', 'probes.', 'NN', 'B-NP', 'O')
We have developed a system based on a heuristic method with web interfaces to find out conserved regions against microbial genomes.
('We', 'We', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('developed', 'develop', 'VBN', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('heuristic', 'heuristic', 'JJ', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('web', 'web', 'NN', 'B-NP', 'O')
('interfaces', 'interface', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('conserved', 'conserve', 'VBN', 'B-NP', 'O')
('regions', 'region', 'NNS', 'I-NP', 'O')
('against', 'against', 'IN', 'B-PP', 'O')
('microbial', 'microbial', 'JJ', 'B-NP', 'O')
('genomes.', 'genomes.', 'NNS', 'I-NP', 'O')
The system runs in real time by using relative entropy in limited narrow regions and detecting similar regions between pair regions with local alignment.
('The', 'The', 'DT', 'B-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('runs', 'run', 'VBZ', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('real', 'real', 'JJ', 'B-NP', 'O')
('time', 'time', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('relative', 'relative', 'JJ', 'B-NP', 'O')
('entropy', 'entropy', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('limited', 'limited', 'JJ', 'B-NP', 'O')
('narrow', 'narrow', 'JJ', 'I-NP', 'O')
('regions', 'region', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('detecting', 'detect', 'VBG', 'B-VP', 'O')
('similar', 'similar', 'JJ', 'B-NP', 'O')
('regions', 'region', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('pair', 'pair', 'NN', 'B-NP', 'B-DNA')
('regions', 'region', 'NNS', 'I-NP', 'I-DNA')
('with', 'with', 'IN', 'B-PP', 'O')
('local', 'local', 'JJ', 'B-NP', 'O')
('alignment.', 'alignment.', 'NN', 'I-NP', 'O')
The system could be useful to find out conserved regions as genome-wide scale.
('The', 'The', 'DT', 'B-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('useful', 'useful', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('conserved', 'conserve', 'VBN', 'B-NP', 'O')
('regions', 'region', 'NNS', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('genome-wide', 'genome-wide', 'JJ', 'B-NP', 'O')
('scale.', 'scale.', 'NN', 'I-NP', 'O')
Many bioinformatics tools have been used for biomedical applications, especially for genomebased researches.
('Many', 'Many', 'JJ', 'B-NP', 'O')
('bioinformatics', 'bioinformatic', 'NNS', 'I-NP', 'O')
('tools', 'tool', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('biomedical', 'biomedical', 'JJ', 'B-NP', 'O')
('applications,', 'applications,', 'NN', 'I-NP', 'O')
('especially', 'especially', 'RB', 'B-ADVP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('genomebased', 'genomebased', 'JJ', 'B-NP', 'O')
('researches.', 'researches.', 'NNS', 'I-NP', 'O')
A lot of biomedical researches have focused on finding out genetic characteristics related with diseases.
('A', 'A', 'DT', 'B-NP', 'O')
('lot', 'lot', 'NN', 'I-NP', 'O')
