AKAPDB: A-Kinase Anchoring Proteins Database.
('AKAPDB:', 'AKAPDB:', 'NNP', 'B-NP', 'O')
('A-Kinase', 'A-Kinase', 'NNP', 'I-NP', 'O')
('Anchoring', 'Anchoring', 'NNP', 'I-NP', 'O')
('Proteins', 'Proteins', 'NNP', 'I-NP', 'O')
('Database.', 'Database.', 'NNP', 'I-NP', 'O')
A-kinase-anchoring proteins (AKAPs) are scaffold proteins which compartmentalize protein kinase A (PKA, cAMP-dependent protein kinase) and other enzymes to specific subcellular sites.
('A-kinase-anchoring', 'A-kinase-anchoring', 'JJ', 'B-NP', 'B-protein')
('proteins', 'protein', 'NNS', 'I-NP', 'I-protein')
('(AKAPs)', '(AKAPs)', 'NN', 'I-NP', 'B-protein')
('are', 'be', 'VBP', 'B-VP', 'O')
('scaffold', 'scaffold', 'JJ', 'B-NP', 'B-protein')
('proteins', 'protein', 'NNS', 'I-NP', 'I-protein')
('which', 'which', 'WDT', 'B-NP', 'O')
('compartmentalize', 'compartmentalize', 'VBP', 'B-VP', 'O')
('protein', 'protein', 'NN', 'B-NP', 'B-protein')
('kinase', 'kinase', 'NN', 'I-NP', 'I-protein')
('A', 'A', 'NN', 'I-NP', 'I-protein')
('(PKA,', '(PKA,', 'NN', 'I-NP', 'O')
('cAMP-dependent', 'cAMP-dependent', 'JJ', 'I-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('kinase)', 'kinase)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('enzymes', 'enzyme', 'NNS', 'I-NP', 'B-protein')
('to', 'to', 'TO', 'B-PP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('subcellular', 'subcellular', 'JJ', 'I-NP', 'O')
('sites.', 'sites.', 'NNS', 'I-NP', 'O')
The spatiotemporal control of these enzymes by AKAPs is important for cellular function like cell growth and development etc.
('The', 'The', 'DT', 'B-NP', 'O')
('spatiotemporal', 'spatiotemporal', 'JJ', 'I-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('enzymes', 'enzyme', 'NNS', 'I-NP', 'B-protein')
('by', 'by', 'IN', 'B-PP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('important', 'important', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('cellular', 'cellular', 'JJ', 'B-NP', 'O')
('function', 'function', 'NN', 'I-NP', 'O')
('like', 'like', 'IN', 'B-PP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'O')
('growth', 'growth', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('development', 'development', 'NN', 'B-NP', 'O')
('etc.', 'etc.', 'FW', 'I-NP', 'O')
Hence, it is important to understand the basic function of AKAPs and their functional domains.
('Hence,', 'Hence,', 'RB', 'B-ADVP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('important', 'important', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('understand', 'understand', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('basic', 'basic', 'JJ', 'I-NP', 'O')
('function', 'function', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('functional', 'functional', 'JJ', 'I-NP', 'O')
('domains.', 'domains.', 'NNS', 'I-NP', 'O')
However, diverse names, function, cellular localizations and many members of AKAPs increase difficulties when researchers search appropriate AKAPs for their experimental purpose.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('diverse', 'diverse', 'JJ', 'B-NP', 'O')
('names,', 'names,', 'NN', 'I-NP', 'O')
('function,', 'function,', 'NN', 'I-NP', 'O')
('cellular', 'cellular', 'JJ', 'I-NP', 'O')
('localizations', 'localization', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('members', 'member', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('increase', 'increase', 'VBP', 'B-VP', 'O')
('difficulties', 'difficulty', 'NNS', 'B-NP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('researchers', 'researcher', 'NNS', 'B-NP', 'O')
('search', 'search', 'VBP', 'B-VP', 'O')
('appropriate', 'appropriate', 'JJ', 'B-NP', 'O')
('AKAPs', 'AKAP', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('experimental', 'experimental', 'JJ', 'I-NP', 'O')
('purpose.', 'purpose.', 'NN', 'I-NP', 'O')
Nevertheless, there was no previous AKAPsrelated database regardless of their important cellular functions and difficulty of finding appropriate AKAPs.
('Nevertheless,', 'Nevertheless,', 'IN', 'B-SBAR', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('no', 'no', 'DT', 'B-NP', 'O')
('previous', 'previous', 'JJ', 'I-NP', 'O')
('AKAPsrelated', 'AKAPsrelated', 'JJ', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('regardless', 'regardless', 'RB', 'B-ADVP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('important', 'important', 'JJ', 'I-NP', 'O')
('cellular', 'cellular', 'JJ', 'I-NP', 'O')
('functions', 'function', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('difficulty', 'difficulty', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('finding', 'find', 'VBG', 'B-VP', 'O')
('appropriate', 'appropriate', 'JJ', 'B-NP', 'O')
('AKAPs.', 'AKAPs.', 'NN', 'I-NP', 'O')
So, we developed AKAPs database (AKAPDB), which contains their sequence information, functions and other information derived from prediction programs and other databases.
('So,', 'So,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('developed', 'develop', 'VBD', 'B-VP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
