KARE Genomewide Association Study of Blood Pressure Using Imputed SNPs.
('KARE', 'KARE', 'NNP', 'B-NP', 'O')
('Genomewide', 'Genomewide', 'NNP', 'I-NP', 'O')
('Association', 'Association', 'NNP', 'I-NP', 'O')
('Study', 'Study', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Blood', 'Blood', 'NNP', 'B-NP', 'O')
('Pressure', 'Pressure', 'NNP', 'I-NP', 'O')
('Using', 'Using', 'NNP', 'I-NP', 'O')
('Imputed', 'Imputed', 'NNP', 'I-NP', 'O')
('SNPs.', 'SNPs.', 'NNP', 'I-NP', 'O')
The imputation of untyped SNPs enables researchers to validate association findings across SNP arrays and also enables them to test a large number of SNPs to reveal the fine structure of the association peak, facilitating interpretation of the results and the location of causal polymorphisms.
('The', 'The', 'DT', 'B-NP', 'O')
('imputation', 'imputation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('untyped', 'untyped', 'JJ', 'B-NP', 'O')
('SNPs', 'SNP', 'NNS', 'I-NP', 'O')
('enables', 'enable', 'VBZ', 'B-VP', 'O')
('researchers', 'researcher', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('validate', 'validate', 'VB', 'I-VP', 'O')
('association', 'association', 'NN', 'B-NP', 'O')
('findings', 'finding', 'NNS', 'I-NP', 'O')
('across', 'across', 'IN', 'B-PP', 'O')
('SNP', 'SNP', 'NN', 'B-NP', 'O')
('arrays', 'array', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('also', 'also', 'RB', 'B-VP', 'O')
('enables', 'enable', 'VBZ', 'I-VP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('test', 'test', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('large', 'large', 'JJ', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('SNPs', 'SNP', 'NNS', 'B-NP', 'B-protein')
('to', 'to', 'TO', 'B-VP', 'O')
('reveal', 'reveal', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
