Recovery of Genes Epigenetically Altered by the Histone Deacetylase Inhibitor Scriptaid and Demethylating Agent 5-Azacytidine in Human Leukemia Cells.
('Recovery', 'Recovery', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Genes', 'Gene', 'NNS', 'B-NP', 'B-DNA')
('Epigenetically', 'Epigenetically', 'RB', 'B-VP', 'O')
('Altered', 'Alter', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Histone', 'Histone', 'NN', 'I-NP', 'B-protein')
('Deacetylase', 'Deacetylase', 'NN', 'I-NP', 'I-protein')
('Inhibitor', 'Inhibitor', 'NN', 'I-NP', 'O')
('Scriptaid', 'Scriptaid', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Demethylating', 'Demethylate', 'VBG', 'B-VP', 'O')
('Agent', 'Agent', 'JJ', 'B-NP', 'O')
('5-Azacytidine', '5-Azacytidine', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Human', 'Human', 'JJ', 'B-NP', 'O')
('Leukemia', 'Leukemia', 'NNP', 'I-NP', 'O')
('Cells.', 'Cells.', 'NNP', 'I-NP', 'O')
Histone deacetylation and demethylation are epigenetic mechanisms implicated in cancer.
('Histone', 'Histone', 'NN', 'B-NP', 'O')
('deacetylation', 'deacetylation', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('demethylation', 'demethylation', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'B-NP', 'O')
('mechanisms', 'mechanism', 'NNS', 'I-NP', 'O')
('implicated', 'implicate', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('cancer.', 'cancer.', 'NN', 'B-NP', 'O')
Studies regarding the role of modulation of gene expression utilizing the histone deacetylase inhibitor scriptaid and the demethylating agent 5-azacytidine in HL-60 leukemia cells have been limited.
('Studies', 'Study', 'NNS', 'B-NP', 'O')
('regarding', 'regard', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('role', 'role', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('modulation', 'modulation', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('utilizing', 'utilize', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('histone', 'histone', 'NN', 'I-NP', 'B-protein')
('deacetylase', 'deacetylase', 'NN', 'I-NP', 'I-protein')
('inhibitor', 'inhibitor', 'NN', 'I-NP', 'O')
('scriptaid', 'scriptaid', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('demethylating', 'demethylate', 'VBG', 'I-NP', 'O')
('agent', 'agent', 'NN', 'I-NP', 'O')
('5-azacytidine', '5-azacytidine', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('HL-60', 'HL-60', 'NN', 'B-NP', 'B-cell_line')
('leukemia', 'leukemia', 'NN', 'I-NP', 'I-cell_line')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_line')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('limited.', 'limited.', 'JJ', 'B-ADJP', 'O')
We studied the possibility of recovering epigenetically silenced genes by scriptaid and 5azacytidine in human leukemia cells by DNA microarray analysis.
('We', 'We', 'PRP', 'B-NP', 'O')
('studied', 'study', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('possibility', 'possibility', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('recovering', 'recover', 'VBG', 'B-VP', 'B-DNA')
('epigenetically', 'epigenetically', 'RB', 'B-NP', 'I-DNA')
('silenced', 'silenced', 'JJ', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('by', 'by', 'IN', 'B-PP', 'O')
('scriptaid', 'scriptaid', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('5azacytidine', '5azacytidine', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-cell_type')
('leukemia', 'leukemia', 'NN', 'I-NP', 'I-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('by', 'by', 'IN', 'B-PP', 'O')
('DNA', 'DNA', 'NN', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
The first group was leukemia cells that were cultured with 5-azacytidine.
('The', 'The', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('leukemia', 'leukemia', 'NN', 'B-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('that', 'that', 'WDT', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('cultured', 'culture', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('5-azacytidine.', '5-azacytidine.', 'NN', 'B-NP', 'O')
The second group was cultured with scriptaid.
('The', 'The', 'DT', 'B-NP', 'O')
('second', 'second', 'JJ', 'I-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('cultured', 'culture', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('scriptaid.', 'scriptaid.', 'NN', 'B-NP', 'O')
The other group was cultured with both agents.
('The', 'The', 'DT', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('cultured', 'culture', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('agents.', 'agents.', 'NNS', 'I-NP', 'O')
Two hundred seventy newly developed genes were expressed after the combination of 5azacytidine and scriptaid.
('Two', 'Two', 'CD', 'B-NP', 'O')
('hundred', 'hundred', 'CD', 'I-NP', 'O')
('seventy', 'seventy', 'CD', 'I-NP', 'O')
('newly', 'newly', 'RB', 'B-NP', 'O')
('developed', 'develop', 'VBN', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
