Finding Interesting Genes Using Reliability in Various Gene Expression Models.
('Finding', 'Find', 'VBG', 'B-VP', 'O')
('Interesting', 'Interesting', 'NNP', 'B-NP', 'O')
('Genes', 'Genes', 'NNP', 'I-NP', 'O')
('Using', 'Using', 'NNP', 'I-NP', 'O')
('Reliability', 'Reliability', 'NNP', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Various', 'Various', 'NNP', 'B-NP', 'O')
('Gene', 'Gene', 'NNP', 'I-NP', 'O')
('Expression', 'Expression', 'NNP', 'I-NP', 'O')
('Models.', 'Models.', 'NNP', 'I-NP', 'O')
Most statistical methods for finding interesting genes are focusing on the summary values with large foldchanges or large variations.
('Most', 'Most', 'JJS', 'B-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('finding', 'find', 'VBG', 'B-VP', 'O')
('interesting', 'interesting', 'JJ', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('focusing', 'focus', 'VBG', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('large', 'large', 'JJ', 'B-NP', 'O')
('foldchanges', 'foldchange', 'NNS', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('large', 'large', 'JJ', 'B-NP', 'O')
('variations.', 'variations.', 'NNS', 'I-NP', 'O')
Very few methods consider the probe level data.
('Very', 'Very', 'JJ', 'B-NP', 'O')
('few', 'few', 'JJ', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('consider', 'consider', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
We developed a new measure to detect reliability that incorporates the probe level data.
('We', 'We', 'PRP', 'B-NP', 'O')
('developed', 'develop', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('new', 'new', 'JJ', 'I-NP', 'O')
('measure', 'measure', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('detect', 'detect', 'VB', 'I-VP', 'O')
('reliability', 'reliability', 'NN', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('incorporates', 'incorporate', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
This reliability measure is useful for exploring the microarray data without ignoring the probe level data.
('This', 'This', 'DT', 'B-NP', 'O')
('reliability', 'reliability', 'NN', 'I-NP', 'O')
('measure', 'measure', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('useful', 'useful', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('exploring', 'explore', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('without', 'without', 'IN', 'B-PP', 'O')
('ignoring', 'ignore', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
It is easy to calculate, and it can be used for all the other statistical methods as a good guideline to find real differentially expressed genes.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('easy', 'easy', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('calculate,', 'calculate,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
