Standard-based Integration of Heterogeneous Large-scale DNA Microarray Data for Improving Reusability.
('Standard-based', 'Standard-based', 'JJ', 'B-NP', 'O')
('Integration', 'Integration', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Heterogeneous', 'Heterogeneous', 'JJ', 'B-NP', 'O')
('Large-scale', 'Large-scale', 'JJ', 'I-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'O')
('Microarray', 'Microarray', 'NNP', 'I-NP', 'O')
('Data', 'Data', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Improving', 'Improving', 'NNP', 'B-NP', 'O')
('Reusability.', 'Reusability.', 'NNP', 'I-NP', 'O')
Gene Expression Omnibus (GEO) has kept the largest amount of gene-expression microarray data that have grown exponentially.
('Gene', 'Gene', 'NNP', 'B-NP', 'O')
('Expression', 'Expression', 'NNP', 'I-NP', 'O')
('Omnibus', 'Omnibus', 'NNP', 'I-NP', 'O')
('(GEO)', '(GEO)', 'NNP', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('kept', 'keep', 'VBN', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('largest', 'large', 'JJS', 'I-NP', 'O')
('amount', 'amount', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('gene-expression', 'gene-expression', 'NN', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('grown', 'grow', 'VBN', 'I-VP', 'O')
('exponentially.', 'exponentially.', 'NN', 'B-NP', 'O')
Microarray data in GEO have been generated in many different formats and often lack standardized annotation and documentation.
('Microarray', 'Microarray', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('generated', 'generate', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('different', 'different', 'JJ', 'I-NP', 'O')
('formats', 'format', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('often', 'often', 'RB', 'B-VP', 'O')
('lack', 'lack', 'VBP', 'I-VP', 'O')
('standardized', 'standardized', 'JJ', 'B-NP', 'O')
('annotation', 'annotation', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('documentation.', 'documentation.', 'NN', 'I-NP', 'O')
It is hard to know if preprocessing has been applied to a dataset or not and in what way.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('hard', 'hard', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('know', 'know', 'VB', 'I-VP', 'O')
('if', 'if', 'IN', 'B-SBAR', 'O')
('preprocessing', 'preprocessing', 'NN', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('applied', 'apply', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('dataset', 'dataset', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('not', 'not', 'RB', 'O', 'O')
('and', 'and', 'CC', 'O', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('what', 'what', 'WP', 'B-NP', 'O')
('way.', 'way.', 'NN', 'B-NP', 'O')
Standard-based integration of heterogeneous data formats and metadata is necessary for comprehensive data query, analysis and mining.
('Standard-based', 'Standard-based', 'JJ', 'B-NP', 'O')
('integration', 'integration', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('heterogeneous', 'heterogeneous', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('formats', 'format', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('metadata', 'metadata', 'NNS', 'I-NP', 'O')
