Genome-Wide Association Analyses on Blood Pressure Using Three Different Phenotype Definitions.
('Genome-Wide', 'Genome-Wide', 'NNP', 'B-NP', 'O')
('Association', 'Association', 'NNP', 'I-NP', 'O')
('Analyses', 'Analyses', 'NNP', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('Blood', 'Blood', 'NN', 'B-NP', 'O')
('Pressure', 'Pressure', 'NN', 'I-NP', 'O')
('Using', 'Use', 'VBG', 'B-VP', 'O')
('Three', 'Three', 'CD', 'B-NP', 'O')
('Different', 'Different', 'JJ', 'I-NP', 'O')
('Phenotype', 'Phenotype', 'NN', 'I-NP', 'O')
('Definitions.', 'Definitions.', 'NN', 'I-NP', 'O')
Hypertension is the most prevalent disease worldwide and is itself a risk factor for cerebral, cardiac, and renal diseases.
('Hypertension', 'Hypertension', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('prevalent', 'prevalent', 'JJ', 'I-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
('worldwide', 'worldwide', 'RB', 'B-ADVP', 'O')
('and', 'and', 'CC', 'O', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('itself', 'itself', 'PRP', 'B-NP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('risk', 'risk', 'NN', 'I-NP', 'O')
('factor', 'factor', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('cerebral,', 'cerebral,', 'NN', 'B-NP', 'O')
('cardiac,', 'cardiac,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('renal', 'renal', 'JJ', 'B-NP', 'O')
('diseases.', 'diseases.', 'NNS', 'I-NP', 'O')
The inconsistency of candidate genes suggested by previous genomewide association studies (GWASs) may be due to not only differences in study design and genetic or environmental background but also the difference in the power of analysis between continuous traits and discrete traits.
('The', 'The', 'DT', 'B-NP', 'O')
('inconsistency', 'inconsistency', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('candidate', 'candidate', 'NN', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('suggested', 'suggest', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('previous', 'previous', 'JJ', 'B-NP', 'O')
('genomewide', 'genomewide', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('(GWASs)', '(GWASs)', 'NN', 'I-NP', 'B-protein')
('may', 'may', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('due', 'due', 'JJ', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('not', 'not', 'RB', 'B-NP', 'O')
('only', 'only', 'JJ', 'I-NP', 'O')
('differences', 'difference', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('study', 'study', 'NN', 'B-NP', 'O')
('design', 'design', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('environmental', 'environmental', 'JJ', 'I-NP', 'O')
('background', 'background', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'B-CONJP', 'O')
('also', 'also', 'RB', 'I-CONJP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('difference', 'difference', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('analysis', 'analysis', 'NN', 'B-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('continuous', 'continuous', 'JJ', 'B-NP', 'O')
('traits', 'trait', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('discrete', 'discrete', 'JJ', 'B-NP', 'O')
('traits.', 'traits.', 'NN', 'I-NP', 'O')
We analyzed 352,228 single nucleotide polymorphisms (SNPs) in 8842 unrelated Koreans obtained from Ansan and Ansung cohorts.
('We', 'We', 'PRP', 'B-NP', 'O')
('analyzed', 'analyze', 'VBD', 'B-VP', 'O')
('352,228', '352,228', 'CD', 'B-NP', 'O')
('single', 'single', 'JJ', 'I-NP', 'O')
('nucleotide', 'nucleotide', 'NN', 'I-NP', 'O')
('polymorphisms', 'polymorphism', 'NNS', 'I-NP', 'O')
('(SNPs)', '(SNPs)', 'NN', 'I-NP', 'B-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('8842', '8842', 'CD', 'B-NP', 'O')
('unrelated', 'unrelated', 'JJ', 'I-NP', 'O')
('Koreans', 'Korean', 'NNPS', 'I-NP', 'O')
('obtained', 'obtain', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('Ansan', 'Ansan', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Ansung', 'Ansung', 'NNP', 'I-NP', 'O')
('cohorts.', 'cohorts.', 'NNS', 'I-NP', 'O')
We performed a series of GWA analyses using three different phenotype models; young hypertensive cases (278 subjects) versus elderly normotensive controls (680 subjects); the upper 25% (2211 hypertensive cases) versus the lower 25% of the SBP distribution  (2211 hypotensive controls); and finally SBP and DBP as continuous traits (8842 subjects).
('We', 'We', 'PRP', 'B-NP', 'O')
('performed', 'perform', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('series', 'series', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('GWA', 'GWA', 'NNP', 'B-NP', 'O')
('analyses', 'analysis', 'NNS', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('different', 'different', 'JJ', 'I-NP', 'O')
('phenotype', 'phenotype', 'NN', 'I-NP', 'O')
('models;', 'models;', 'NN', 'I-NP', 'O')
('young', 'young', 'JJ', 'I-NP', 'O')
('hypertensive', 'hypertensive', 'JJ', 'I-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('(278', '(278', 'CD', 'B-NP', 'O')
('subjects)', 'subjects)', 'NN', 'I-NP', 'O')
('versus', 'versus', 'IN', 'B-PP', 'O')
('elderly', 'elderly', 'JJ', 'B-NP', 'O')
('normotensive', 'normotensive', 'JJ', 'I-NP', 'O')
('controls', 'control', 'NNS', 'I-NP', 'O')
('(680', '(680', 'CD', 'B-NP', 'O')
('subjects);', 'subjects);', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('upper', 'upper', 'JJ', 'I-NP', 'O')
('25%', '25%', 'CD', 'I-NP', 'O')
('(2211', '(2211', 'CD', 'I-NP', 'O')
('hypertensive', 'hypertensive', 'JJ', 'I-NP', 'O')
('cases)', 'cases)', 'NN', 'I-NP', 'O')
('versus', 'versus', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('lower', 'low', 'JJR', 'I-NP', 'O')
('25%', '25%', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('SBP', 'SBP', 'NN', 'I-NP', 'O')
('distribution', 'distribution', 'NN', 'I-NP', 'O')
('(2211', '(2211', 'CD', 'I-NP', 'O')
('hypotensive', 'hypotensive', 'JJ', 'I-NP', 'O')
('controls);', 'controls);', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('finally', 'finally', 'RB', 'B-ADVP', 'O')
('SBP', 'SBP', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('DBP', 'DBP', 'NN', 'I-NP', 'B-protein')
('as', 'as', 'IN', 'B-PP', 'O')
('continuous', 'continuous', 'JJ', 'B-NP', 'O')
('traits', 'trait', 'NNS', 'I-NP', 'O')
('(8842', '(8842', 'CD', 'B-NP', 'O')
('subjects).', 'subjects).', 'NN', 'I-NP', 'O')
The numbers of young hypertensive cases and elderly normotensive controls were not large enough to achieve genomewide significance.
('The', 'The', 'DT', 'B-NP', 'O')
('numbers', 'number', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('young', 'young', 'JJ', 'B-NP', 'O')
('hypertensive', 'hypertensive', 'JJ', 'I-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('elderly', 'elderly', 'JJ', 'B-NP', 'O')
('normotensive', 'normotensive', 'JJ', 'I-NP', 'O')
('controls', 'control', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('not', 'not', 'RB', 'O', 'O')
('large', 'large', 'JJ', 'B-ADJP', 'O')
('enough', 'enough', 'RB', 'I-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('achieve', 'achieve', 'VB', 'I-VP', 'O')
('genomewide', 'genomewide', 'JJ', 'B-NP', 'O')
('significance.', 'significance.', 'NN', 'I-NP', 'O')
The model comparing the upper 25% subjects to the lower 25% of subjects showed a power that was approximate to that of QTL analysis.
('The', 'The', 'DT', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('comparing', 'compare', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('upper', 'upper', 'JJ', 'I-NP', 'O')
('25%', '25%', 'JJ', 'I-NP', 'O')
('subjects', 'subject', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('lower', 'low', 'JJR', 'I-NP', 'O')
('25%', '25%', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('subjects', 'subject', 'NNS', 'B-NP', 'O')
('showed', 'show', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('approximate', 'approximate', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('QTL', 'QTL', 'NN', 'B-NP', 'O')
('analysis.', 'analysis.', 'NNS', 'I-NP', 'O')
Two neighboring SNPs of the ATP2B1 gene, rs17249754 (SBP, p= 2.53−10; DBP, p=1.28×10−8) and rs7136259 (SBP, p= 1.30×10−9; DBP, p=6.41×10−8), were associated with both SBP and DBP.
('Two', 'Two', 'CD', 'B-NP', 'O')
('neighboring', 'neighboring', 'JJ', 'I-NP', 'O')
('SNPs', 'SNP', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ATP2B1', 'ATP2B1', 'NN', 'I-NP', 'O')
('gene,', 'gene,', 'NN', 'I-NP', 'O')
('rs17249754', 'rs17249754', 'CD', 'I-NP', 'O')
('(SBP,', '(SBP,', 'NNP', 'I-NP', 'O')
('p=', 'p=', 'NN', 'I-NP', 'O')
('2.53−10;', '2.53−10;', 'CD', 'I-NP', 'O')
('DBP,', 'DBP,', 'NN', 'I-NP', 'O')
('p=1.28×10−8)', 'p=1.28×10−8)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('rs7136259', 'rs7136259', 'NN', 'I-NP', 'B-protein')
('(SBP,', '(SBP,', 'NNP', 'I-NP', 'I-protein')
('p=', 'p=', 'NN', 'I-NP', 'I-protein')
('1.30×10−9;', '1.30×10−9;', 'CD', 'I-NP', 'I-protein')
('DBP,', 'DBP,', 'NN', 'I-NP', 'I-protein')
('p=6.41×10−8),', 'p=6.41×10−8),', 'NN', 'I-NP', 'I-protein')
('were', 'be', 'VBD', 'B-VP', 'O')
('associated', 'associate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('both', 'both', 'CC', 'O', 'O')
('SBP', 'SBP', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('DBP.', 'DBP.', 'NN', 'B-NP', 'O')
Interestingly, a SNP of the RPL6 gene, rs11066280, revealed a significant genomewide association with SBP in men only (p=3.85×10−8), and four SNPs located near the MAN2A1 gene showed a strong association with DBP only in elderly men aged 6070 years (e. g., rs6421827, p=4.86×10−8).
('Interestingly,', 'Interestingly,', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('SNP', 'SNP', 'NN', 'I-NP', 'B-protein')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('RPL6', 'RPL6', 'NN', 'I-NP', 'B-protein')
('gene,', 'gene,', 'NN', 'I-NP', 'O')
('rs11066280,', 'rs11066280,', 'NN', 'I-NP', 'O')
('revealed', 'reveal', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('genomewide', 'genomewide', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('SBP', 'SBP', 'NN', 'B-NP', 'B-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('men', 'man', 'NNS', 'B-NP', 'O')
('only', 'only', 'RB', 'B-NP', 'O')
('(p=3.85×10−8),', '(p=3.85×10−8),', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('four', 'four', 'CD', 'I-NP', 'O')
('SNPs', 'SNP', 'NNS', 'I-NP', 'O')
('located', 'located', 'JJ', 'B-ADJP', 'O')
('near', 'near', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('MAN2A1', 'MAN2A1', 'NN', 'I-NP', 'B-DNA')
('gene', 'gene', 'NN', 'I-NP', 'I-DNA')
('showed', 'show', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('strong', 'strong', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('DBP', 'DBP', 'NN', 'B-NP', 'B-protein')
('only', 'only', 'RB', 'B-ADVP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('elderly', 'elderly', 'JJ', 'B-NP', 'O')
('men', 'man', 'NNS', 'I-NP', 'O')
('aged', 'age', 'VBN', 'B-VP', 'O')
('6070', '6070', 'CD', 'B-NP', 'O')
('years', 'year', 'NNS', 'I-NP', 'O')
('(e.', '(e.', 'VBP', 'B-VP', 'O')
('g.,', 'g.,', 'NN', 'B-NP', 'O')
('rs6421827,', 'rs6421827,', 'NN', 'I-NP', 'O')
('p=4.86×10−8).', 'p=4.86×10−8).', 'NN', 'I-NP', 'O')
However, we did not observe any gene variant attaining genomewide significance consistently in the three phenotype models except for the ATP2B1 gene variants.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('did', 'do', 'VBD', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('observe', 'observe', 'VB', 'I-VP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('variant', 'variant', 'NN', 'I-NP', 'O')
('attaining', 'attain', 'VBG', 'B-VP', 'O')
('genomewide', 'genomewide', 'JJ', 'B-NP', 'O')
('significance', 'significance', 'NN', 'I-NP', 'O')
('consistently', 'consistently', 'RB', 'B-ADVP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('three', 'three', 'CD', 'I-NP', 'O')
('phenotype', 'phenotype', 'NN', 'I-NP', 'O')
('models', 'model', 'NNS', 'I-NP', 'O')
('except', 'except', 'IN', 'B-PP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ATP2B1', 'ATP2B1', 'NN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('variants.', 'variants.', 'NN', 'I-NP', 'O')
